Area,Days,Height,Location
Gold Coast,1,50,"Kentucky, United States"
Sentinel Buttress,1,200,"North Carolina, United States"
Moores Amphitheater,1,240,"North Carolina, United States"
Pilot Mountain,1,280,"North Carolina, United States"
Sauratown,1,300,"North Carolina, United States"
