Area,Days,Height,Location
Seneca Rocks,5,"1,200","West Virginia, United States"
Nelson Rocks,6,"1,950","West Virginia, United States"
Mount Olympus,2,300,"Washington, United States"
El Potrero Chico,2,990,"Nuevo Leon, Mexico"
