Area,Days,Height,Location
Grayson Highlands,2,203,"Virginia, United States"
Tieranny Roofs,1,340,"Tennessee, United States"
Stone Mountain,1,490,"North Carolina, United States"
Stone Fort,1,63,"Tennessee, United States"
