Area,Days,Height,Location
Grayson Highlands,1,81,"Virginia, United States"
Tower Rock,1,200,"Kentucky, United States"
Circus Wall,1,220,"North Carolina, United States"
Table Rock,2,380,"North Carolina, United States"
Linville Amphitheater,1,500,"North Carolina, United States"
Stone Mountain,2,1030,"North Carolina, United States"
Pilot Mountain,2,1040,"North Carolina, United States"
