Area,Days,Height,Location
Leaning Tower,3,"1,040","California, United States"
El Capitan,1,"1,120","California, United States"
Seneca Rocks,7,"2,130","West Virginia, United States"
Entrance Wall,1,45,"West Virginia, United States"
Nelson Rocks,3,460,"West Virginia, United States"
Reeds Creek,1,55,"West Virginia, United States"
Looking Glass Rock,2,650,"North Carolina, United States"
The Beach,1,80,"West Virginia, United States"
