Area,Days,Height,Location
Nelson Rocks,1,180,"West Virginia, United States"
Sasquatch Crag,1,240,"West Virginia, United States"
Seneca Rocks,1,250,"West Virginia, United States"
Champe Rocks,1,450,"West Virginia, United States"
