Area,Days,Height,Location
Narcissus Cave,1,55,"West Virginia, United States"
Bridge Buttress,1,80,"West Virginia, United States"
Satisfaction Wall,1,125,"West Virginia, United States"
Nelson Rocks,1,195,"West Virginia, United States"
The Junkyard,1,220,"West Virginia, United States"
Upper Meadow,1,260,"West Virginia, United States"
Beauty Mountain,2,370,"West Virginia, United States"
Bubba City,1,370,"West Virginia, United States"
