Area,Days,Height,Location
Nelson Rocks,6,"1,200","West Virginia, United States"
Seneca Rocks,7,"1,710","West Virginia, United States"
Pingora,1,"1,900","Wyoming, United States"
Cirque of the Towers Bouldering,1,10,"Wyoming, United States"
Devil Boulder,1,10,"North Carolina, United States"
Sauratown,1,240,"North Carolina, United States"
Cereal Buttress,1,340,"North Carolina, United States"
El Potrero Chico,3,720,"Nuevo Leon, Mexico"
Riverton Rock,1,75,"West Virginia, United States"
