Area,Days,Height,Location
Kwik-E-Mart Wall,1,45,"West Virginia, United States"
Entrance Wall,1,70,"West Virginia, United States"
The Pinnacle,1,95,"West Virginia, United States"
Sand Rock,1,170,"Alabama, United States"
Flaggberg,1,180,"Innlandet, Norway"
Cotton Club,1,210,"West Virginia, United States"
The Junkyard,1,220,"West Virginia, United States"
Cantagalo,1,250,"Rio de Janeiro, Brazil"
Pilot Mountain,2,345,"North Carolina, United States"
Champe Rocks,1,450,"West Virginia, United States"
Jarberget,2,475,"Innlandet, Norway"
Seneca Rocks,3,535,"West Virginia, United States"
Nelson Rocks,3,800,"West Virginia, United States"
Pao de Acucar,1,1330,"Rio de Janeiro, Brazil"
