Area,Days,Height,Location
Crescent Crack Buttress,1,300,"Utah, United States"
Whitewater Buttress,1,300,"North Carolina, United States"
Bongeater Buttress,1,80,"Utah, United States"
Coffin Buttress,1,80,"Utah, United States"
