"feet"
150
230
115
855
220
875
500
0
500
1385
0
3395
1140
1210
1218
3961
2363
1157
1420
280
875
690
3220
3300
1690
1100
900
95
500
0
0
840
585
65
945
800
3720
5530
340
1950
2275
470
1570
1520
1423
1220
1610
3965
2360
3885
1050
810
1010
1385
560
1791
3015
4940
2825
4525
4365
3410
3660
4660
2555
0
0
11107
1980
1455
1770
2800
1227
1080
