Area,Days,Height,Location
Seneca Rocks,84,21215,"West Virginia, United States"
Stone Mountain,2,1140,"North Carolina, United States"
Pao de Acucar,1,1330,"Rio de Janeiro, Brazil"
Moores Central Wall,1,120,"North Carolina, United States"
