Area,Days,Height,Location
Judy Gap,1,110,"West Virginia, United States"
Nelson Rocks,1,170,"West Virginia, United States"
Mount Olympus,1,200,"Washington, United States"
El Potrero Chico,2,370,"Nuevo Leon, Mexico"
