Area,Days,Height,Location
Narcissus Cave,1,55,"West Virginia, United States"
Satisfaction Wall,1,125,"West Virginia, United States"
Beauty Mountain,1,200,"West Virginia, United States"
Bubba City,1,370,"West Virginia, United States"
Seneca Rocks,3,780,"West Virginia, United States"
Nelson Rocks,5,1695,"West Virginia, United States"
