Area,Days,Height,Location
Reeds Creek,1,102,"West Virginia, United States"
Satisfaction Wall,1,125,"West Virginia, United States"
Beauty Mountain,1,200,"West Virginia, United States"
Kwik-E-Mart Wall,1,285,"West Virginia, United States"
Bubba City,1,370,"West Virginia, United States"
Seneca Rocks,2,475,"West Virginia, United States"
Nelson Rocks,2,535,"West Virginia, United States"
Narcissus Cave,1,55,"West Virginia, United States"
