Area,Days,Height,Location
The Beach,1,80,"West Virginia, United States"
Nelson Rocks,1,130,"West Virginia, United States"
Riverton Rock,1,200,"West Virginia, United States"
Five Open Books,1,320,"California, United States"
Champe Rocks,1,375,"West Virginia, United States"
Looking Glass Rock,2,650,"North Carolina, United States"
Seneca Rocks,5,960,"West Virginia, United States"
El Capitan,1,1120,"California, United States"
